EmployeeID,Name,Department,JobRole,Gender,Age,Salary,Bonus,HireDate,ExitDate,Attrition,PerformanceRating,AbsenteeismDays
E1000,Employee_0,Operations,Executive,Male,59,176867.0,50880.84680795066,2018-02-04,2021-08-22,Yes,5,20
E1001,Employee_1,Support,Associate,Female,59,167337.0,14892.763762374787,2015-11-27,2020-07-05,Yes,5,3
E1002,Employee_2,Operations,Manager,Male,44,71090.0,3920.337924872149,2017-02-08,,No,4,29
E1003,Employee_3,,Associate,Female,58,35311.0,10524.545592533044,2018-03-30,,No,4,25
E1004,Employee_4,Operations,Specialist,Male,42,160608.0,29101.15215869484,2022-01-02,,No,2,27
E1005,Employee_5,Operations,Executive,Female,36,95725.0,6954.575236413568,2016-07-16,2021-06-10,Yes,4,24
E1006,Employee_6,,Associate,Female,23,99092.0,20005.308616154332,2020-08-30,,No,1,6
E1007,Employee_7,HR,Analyst,female,38,171699.0,49028.724812333385,2020-08-23,,No,2,25
E1008,Employee_8,Marketing,Specialist,Female,29,184969.0,13765.028313911705,2018-09-25,2019-07-13,Yes,4,6
E1009,Employee_9,,Manager,Male,28,140510.0,13115.366866094264,2020-05-09,2025-03-29,Yes,4,1
E1010,Employee_10,IT,Manager,Male,26,,,2019-02-09,,No,2,25
E1011,Employee_11,Finance,Specialist,Female,54,67065.0,18356.14906410757,2021-05-06,,No,4,24
E1012,Employee_12,IT,Specialist,Male,41,53247.0,12610.48847612128,2017-05-28,2020-11-24,Yes,2,24
E1013,Employee_13,HR,Executive,Female,49,81214.0,7416.197297265671,2022-01-12,,No,1,11
E1014,Employee_14,IT,Executive,Male,28,154375.0,8262.143157910292,2019-03-03,,No,1,7
E1015,Employee_15,Sales,Associate,Female,55,91858.0,22304.737876469404,2019-12-02,,No,2,6
E1016,Employee_16,Hr,Analyst,Female,48,52662.0,13824.282895891603,2017-02-18,,No,2,0
E1017,Employee_17,,Associate,Male,43,107373.0,14097.627208994476,2020-11-16,,No,4,7
E1018,Employee_18,,Specialist,Male,42,54538.0,10379.173489720482,2022-04-14,,No,3,0
E1019,Employee_19,Marketing,Executive,Male,25,,,2022-09-15,,No,3,8
E1020,Employee_20,sales,Specialist,Male,35,152409.0,24360.15922821504,2017-05-13,2019-12-11,Yes,1,19
E1021,Employee_21,Support,Executive,Female,52,117939.0,32656.320592092372,2021-03-28,,No,5,14
